product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description
BTC-USD,70339.73,0.77486916695511,3873.9938386,-45.16236985777315,0.00000001,0.01,1,150000000,0.00000001,3400,Bitcoin,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,BTC,,,,['BTC-USDC'],BTC,USD,False,0.01,BTC-USD,CBE,272495680.63,2023-01-01T00:00:00Z,,,,,,,,False,
BTC-USDC,70339.73,0.77486916695511,3873.9938386,-45.16236985777315,0.00000001,0.01,1,150000000,0.00000001,3400,Bitcoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,BTC,,,BTC-USD,[],BTC,USD,False,0.01,BTC-USDC,CBE,272495680.63,2023-01-01T00:00:00Z,,,,,,,,False,
ETH-USD,2147.91,0.51711389609053,63374.57777248,-55.90133359951787,0.00000001,0.01,1,150000000,0.00000001,42000,Ethereum,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,ETH,,,,['ETH-USDC'],ETH,USD,False,0.01,ETH-USD,CBE,136122889.34,2023-01-01T00:00:00Z,,,,,,,,False,
ETH-USDC,2147.91,0.51711389609053,63374.57777248,-55.90133359951787,0.00000001,0.01,1,150000000,0.00000001,42000,Ethereum,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,ETH,,,ETH-USD,[],ETH,USD,False,0.01,ETH-USDC,CBE,136122889.34,2023-01-01T00:00:00Z,,,,,,,,False,
XRP-USD,1.4369,-0.02087392151406,36543707.152311,-29.57118912754204,0.000001,0.0001,1,10000000,0.000001,11996772.8407292192545075,XRP,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,XRP,,,,['XRP-USDC'],XRP,USD,False,0.0001,XRP-USD,CBE,52509652.81,2023-07-13T19:47:00.692Z,,,,,,,,False,
XRP-USDC,1.4369,-0.02087392151406,36543707.152311,-29.57118912754204,0.000001,0.0001,1,10000000,0.000001,11996772.8407292192545075,XRP,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,XRP,,,XRP-USD,[],XRP,USD,False,0.0001,XRP-USDC,CBE,52509652.81,2023-07-13T19:47:00.692Z,,,,,,,,False,
SOL-USD,89.74,0.92217723796671,413305.3813037,-50.70366800495227,0.00000001,0.01,1,25000000,0.00000001,1274000,Solana,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,SOL,,,,['SOL-USDC'],SOL,USD,False,0.01,SOL-USD,CBE,37090024.92,2023-01-01T00:00:00Z,,,,,,,,False,
SOL-USDC,89.74,0.92217723796671,413305.3813037,-50.70366800495227,0.00000001,0.01,1,25000000,0.00000001,1274000,Solana,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,SOL,,,SOL-USD,[],SOL,USD,False,0.01,SOL-USDC,CBE,37090024.92,2023-01-01T00:00:00Z,,,,,,,,False,
USDT-USD,0.99974,0.01100407150646,26093089.08,-11.13804165246243,0.01,0.00001,1,10000000,0.01,10480600,Tether,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,USDT,,,,[],USDT,USD,False,0.00001,USDT-USD,CBE,26086304.88,2023-01-01T00:00:00Z,,,,,,,,False,
TAO-USD,272.93,-1.38387050151756,73929.7858,-48.43369176208743,0.0001,0.01,1,10000000,0.0001,23557.2849836974065586,Bittensor,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,TAO,,,,['TAO-USDC'],TAO,USD,False,0.01,TAO-USD,CBE,20177656.44,2025-02-19T16:57:00.011Z,,,,,,,,False,
